Name,SI CODE
UK_2008_1586_CJIACTSPO,PRISONS,REPATRIATION
UK_2019_527_IASEPO,WILDLIFE
UK_2003_34_CSHHRNI,HEALTH AND SAFETY
UK_2004_475_CNHASR,COUNTRYSIDE
UK_2007_80_CNHASR,WILDLIFE,COUNTRYSIDE
UK_2003_105_MUDSRNI,PUBLIC HEALTH
UK_2019_590_IWSAEER,ENVIRONMENTAL PROTECTION
UK_2013_1966_SMDACTPO,SCRAP METAL DEALERS
UK_2012_3032_RUCHSEEER,ENVIRONMENTAL PROTECTION
UK_2009_258_FIRNI,FOOD
UK_2016_1146_PROPWAR,ENVIRONMENTAL PROTECTION
UK_2010_8_PSRSA,PUBLIC BODIES
UK_2022_432_EAONOWFO,INFRASTRUCTURE PLANNING
UK_2019_746_FAEER,SEA FISHERIES
UK_2015_339_GMOCURNI,HEALTH AND SAFETY
UK_2003_21_CA,TRADING STANDARDS
UK_2003_3142_OCACCACO,BROADCASTING
UK_2004_399_WETACONI,ENVIRONMENTAL PROTECTION
UK_2006_128_WMLWESR,ENVIRONMENTAL PROTECTION
UK_2003_2155_CACAO,ELECTRONIC COMMUNICATIONS
UK_2019_273_MEWEESMAR,ENVIRONMENTAL PROTECTION
UK_2014_173_ITLCIONI,INDUSTRIAL TRAINING
UK_1995_2950_EACSPO,COUNTRYSIDE
UK_2008_170_BWSR,WATER
UK_1995_1950_WMLAR,ENVIRONMENTAL PROTECTION
UK_2019_356_WMASR,WASTE
UK_2019_791_MDAEEER,EXITING THE EUROPEAN UNION,CONSUMER PROTECTION
UK_2004_1936_LSYMLAR,ENVIRONMENTAL PROTECTION
UK_2010_396_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2017_3_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2012_2_LGBWA,NATIONAL PARKS
UK_2009_248_LSACPO,LICENSING (LIQUOR)
UK_1995_288_WMLAER,ENVIRONMENTAL PROTECTION
UK_1999_22_AJA,EMPLOYMENT RIGHTS
UK_2010_59_CERNI,HEALTH AND SAFETY
UK_2011_735_MWEIAAR,MARINE MANAGEMENT
UK_1997_11_PCPSA,CONSERVATION AREAS
UK_1994_22_VERA,VEHICLE LICENCES
UK_2007_179_LARNI,ENVIRONMENTAL PROTECTION
UK_2003_456_AFTESACADO,CARIBBEAN AND NORTH ATLANTIC TERRITORIES
UK_2009_1604_CRACO,SUPREME COURT OF THE UNITED KINGDOM
UK_2006_428_PTOCONI,LANDLORD AND TENANT
UK_2019_1268_APGFGSO,INFRASTRUCTURE PLANNING
UK_2009_46_LASARNI,ENVIRONMENTAL PROTECTION
UK_1990_304_DSNMSR,HEALTH AND SAFETY
UK_1999_416_DCTFMPO,DEVELOPMENT COMMISSION
UK_2018_1214_WEEEAR,ENVIRONMENTAL PROTECTION
UK_2003_165_MUDSRNI,PUBLIC HEALTH
UK_2013_33_WAOCONI,ENVIRONMENTAL PROTECTION
UK_2015_182_TCPHSISPSR,TRIBUNALS AND INQUIRIES
UK_1986_1078_RVCUR,ROAD TRAFFIC
UK_2019_1099_POPVAR,ENVIRONMENTAL PROTECTION
UK_2012_437_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_1999_1957_MSMER,MERCHANT SHIPPING
UK_1995_2498_MSRRSCDPGR,MERCHANT SHIPPING,SAFETY
UK_2016_79_PROPWARNI,ENVIRONMENTAL PROTECTION
UK_2005_1521_SOCPACTTPO,ROAD TRAFFIC
UK_2011_2601_MSPSCR,MERCHANT SHIPPING
UK_2015_142_RVCUAR,ROAD TRAFFIC
UK_2007_294_WAOCONI,ENVIRONMENTAL PROTECTION
UK_2017_1221_PROPWAR,ENVIRONMENTAL PROTECTION
UK_2002_30_PRA,ARREST
UK_2011_5_PSA,LIBRARY AND INFORMATION SERVICES
UK_1996_18_ERA,EMPLOYMENT RIGHTS
UK_2012_453_PPCIERNI,ENVIRONMENTAL PROTECTION
UK_2015_327_TSASO,ANIMALS,ANIMAL HEALTH
UK_2001_4050_TACAO,CIVIL AVIATION
UK_2013_34_WCLAACONI,ENVIRONMENTAL PROTECTION
UK_2005_66_PPSO,PESTICIDES
UK_2022_433_EATOWFO,INFRASTRUCTURE PLANNING
